The system temp is: 4.14293 
The final system temp is: 2.38868 
Fx(N),            Fy(N),            Fz(N)
2.25197e-10,    -6.87563e-12,    2.25197e-10
4.67007e-10,    -2.85406e-10,    4.67007e-10
-2.22535e-11,    7.15595e-12,    -2.22535e-11
5.44278e-11,    8.99476e-11,    5.44278e-11
-1.29629e-10,    -2.19202e-10,    -1.29629e-10
1.65742e-10,    -2.14213e-10,    1.65742e-10
3.00883e-10,    -2.13066e-10,    3.00883e-10
-6.031e-11,    1.52732e-12,    -6.031e-11
-6.9635e-11,    3.30266e-11,    -6.9635e-11
1.23031e-10,    1.16193e-10,    1.23031e-10
-1.08471e-10,    1.30336e-10,    -1.08471e-10
1.18221e-10,    -1.85659e-11,    1.18221e-10
-2.4823e-10,    2.3059e-10,    -2.4823e-10
-7.5423e-11,    4.04754e-11,    -7.5423e-11
2.03697e-10,    -1.70589e-10,    2.03697e-10
-1.21532e-10,    -1.88876e-10,    -1.21532e-10
2.30122e-10,    4.20673e-10,    2.30122e-10
1.50963e-10,    -2.84345e-10,    1.50963e-10
-1.87891e-10,    4.09434e-11,    -1.87891e-10
4.89385e-12,    -1.77e-11,    4.89385e-12
-5.29741e-11,    1.66905e-10,    -5.29741e-11
4.60907e-11,    -6.57006e-11,    4.60907e-11
-2.51349e-10,    -2.19085e-11,    -2.51349e-10
3.04057e-10,    4.77689e-11,    3.04057e-10
2.26911e-10,    -2.10236e-12,    2.26911e-10
2.19625e-11,    6.39697e-11,    2.19625e-11
-5.93937e-12,    1.01188e-10,    -5.93937e-12
2.30214e-11,    -5.28965e-11,    2.30214e-11
-1.69745e-10,    -7.86281e-11,    -1.69745e-10
5.42927e-12,    1.20302e-10,    5.42927e-12
4.68062e-11,    1.98687e-12,    4.68062e-11
-1.14463e-10,    3.82603e-11,    -1.14463e-10
3.22299e-11,    1.43108e-10,    3.22299e-11
1.24543e-11,    -8.48874e-12,    1.24543e-11
-1.13925e-10,    -2.56951e-10,    -1.13925e-10
-5.28808e-11,    -1.45387e-10,    -5.28808e-11
-1.85087e-10,    -1.28042e-10,    -1.85087e-10
-1.18162e-11,    -4.79259e-12,    -1.18162e-11
1.65767e-11,    1.01372e-11,    1.65767e-11
-5.49968e-11,    1.95088e-10,    -5.49968e-11
-1.11245e-10,    7.38823e-11,    -1.11245e-10
2.73237e-10,    -2.23888e-10,    2.73237e-10
3.29912e-10,    2.24264e-10,    3.29912e-10
5.36766e-11,    1.56548e-10,    5.36766e-11
-1.14755e-10,    2.31835e-10,    -1.14755e-10
-1.91266e-10,    1.2186e-11,    -1.91266e-10
-6.75716e-11,    -2.14654e-11,    -6.75716e-11
-6.71865e-10,    -4.05399e-10,    -6.71865e-10
1.6927e-10,    2.78611e-11,    1.6927e-10
-1.87699e-10,    -7.49792e-11,    -1.87699e-10
-4.01016e-11,    1.28134e-10,    -4.01016e-11
1.49177e-11,    -4.6346e-11,    1.49177e-11
-1.02135e-10,    -3.466e-12,    -1.02135e-10
-2.35352e-10,    2.1108e-10,    -2.35352e-10
3.46665e-10,    -2.27503e-10,    3.46665e-10
4.74409e-11,    -1.75228e-10,    4.74409e-11
3.7813e-11,    -1.10484e-10,    3.7813e-11
-3.1839e-10,    -8.99224e-11,    -3.1839e-10
-9.11407e-11,    2.2716e-10,    -9.11407e-11
-3.25598e-11,    -6.20617e-11,    -3.25598e-11
-1.2485e-10,    8.69108e-11,    -1.2485e-10
1.09423e-10,    4.50955e-11,    1.09423e-10
3.89514e-13,    -6.72468e-12,    3.89514e-13
-2.59845e-10,    -4.11762e-10,    -2.59845e-10
7.74648e-11,    -3.85841e-11,    7.74648e-11
3.78095e-11,    1.11155e-10,    3.78095e-11
-6.20403e-11,    2.62887e-10,    -6.20403e-11
4.92932e-11,    4.27566e-11,    4.92932e-11
1.24981e-11,    9.81481e-12,    1.24981e-11
-1.55137e-10,    -4.63499e-11,    -1.55137e-10
3.37315e-10,    -4.01255e-11,    3.37315e-10
-4.6501e-11,    -7.16771e-12,    -4.6501e-11
9.51481e-11,    3.77311e-11,    9.51481e-11
-1.11427e-10,    4.97703e-11,    -1.11427e-10
1.40743e-11,    3.3423e-11,    1.40743e-11
2.87799e-10,    -9.15131e-11,    2.87799e-10
-6.89062e-11,    -1.50945e-10,    -6.89062e-11
2.1204e-10,    2.85894e-10,    2.1204e-10
5.97246e-11,    4.28108e-11,    5.97246e-11
-6.45427e-11,    -4.68003e-10,    -6.45427e-11
