Step, TotalE, KinE(ev/atom), PotE(ev/at), Temp(K)
318, -0.0185814 ,0.0191086, -0.0567985, 159.485
319, -0.0185771 ,0.0191026, -0.0567824, 159.593
320, -0.0185621 ,0.0190904, -0.056743, 159.471
321, -0.0185366 ,0.0190773, -0.0566913, 159.17
322, -0.0185128 ,0.0190636, -0.05664, 158.774
323, -0.0184986 ,0.0190554, -0.0566095, 158.386
324, -0.0185056 ,0.0190601, -0.0566257, 158.162
325, -0.0185357 ,0.0190835, -0.0567027, 158.296
326, -0.018577 ,0.0191258, -0.0568285, 158.886
327, -0.018638 ,0.0191652, -0.0569685, 159.844
328, -0.0186856 ,0.019196, -0.0570777, 160.906
329, -0.0187034 ,0.0192076, -0.0571185, 161.734
330, -0.0186978 ,0.0191897, -0.0570771, 162.044
331, -0.0186699 ,0.0191498, -0.0569696, 161.733
332, -0.0186415 ,0.0190961, -0.0568336, 160.921
333, -0.0186323 ,0.0190379, -0.0567081, 159.889
334, -0.0186477 ,0.0189836, -0.0566149, 158.928
335, -0.0186757 ,0.0189416, -0.056559, 158.209
336, -0.0187023 ,0.0189178, -0.0565379, 157.775
337, -0.0187206 ,0.0189129, -0.0565464, 157.609
338, -0.0187464 ,0.0189149, -0.0565763, 157.669
339, -0.0187777 ,0.0189215, -0.0566208, 157.896
340, -0.0188184 ,0.018931, -0.0566803, 158.24
341, -0.018853 ,0.0189545, -0.0567619, 158.704
342, -0.0188474 ,0.0190112, -0.0568698, 159.337
343, -0.0187885 ,0.0191023, -0.0569932, 160.167
344, -0.0187455 ,0.0191796, -0.0571047, 161.107
345, -0.0187324 ,0.0192208, -0.0571739, 161.952
346, -0.0187473 ,0.01922, -0.0571873, 162.481
347, -0.0187823 ,0.0191867, -0.0571556, 162.59
348, -0.0188277 ,0.0191362, -0.0571001, 162.355
349, -0.0188664 ,0.0190857, -0.0570377, 161.933
350, -0.0188709 ,0.0190583, -0.0569875, 161.459
351, -0.018834 ,0.0190664, -0.0569668, 161.081
352, -0.0187755 ,0.0190962, -0.0569678, 160.918
353, -0.0187221 ,0.0191188, -0.0569597, 160.911
354, -0.0186771 ,0.0191192, -0.0569154, 160.836
355, -0.0186178 ,0.0191046, -0.0568271, 160.491
356, -0.0185559 ,0.0190749, -0.0567058, 159.815
357, -0.0185032 ,0.0190356, -0.0565745, 158.888
358, -0.0184671 ,0.0189956, -0.0564582, 157.886
359, -0.0184402 ,0.0189684, -0.0563769, 156.996
360, -0.0184338 ,0.018955, -0.0563438, 156.373
361, -0.018448 ,0.0189571, -0.0563622, 156.12
362, -0.0184833 ,0.0189692, -0.0564218, 156.258
363, -0.0185184 ,0.018992, -0.0565024, 156.71
364, -0.0185411 ,0.0190218, -0.0565847, 157.326
365, -0.0185517 ,0.0190529, -0.0566574, 157.959
366, -0.0185428 ,0.0190867, -0.0567163, 158.521
367, -0.0185195 ,0.0191205, -0.0567605, 158.978
368, -0.0184947 ,0.0191483, -0.0567913, 159.322
369, -0.0184784 ,0.0191654, -0.0568091, 159.561
370, -0.0184839 ,0.019164, -0.0568119, 159.698
371, -0.0185108 ,0.0191432, -0.0567971, 159.718
372, -0.0185406 ,0.0191133, -0.0567673, 159.605
373, -0.0185623 ,0.0190841, -0.0567305, 159.378
374, -0.0185821 ,0.0190562, -0.0566945, 159.098
375, -0.018605 ,0.0190281, -0.0566611, 158.819
376, -0.0186353 ,0.0189957, -0.0566267, 158.558
377, -0.0186659 ,0.0189616, -0.056589, 158.29
378, -0.0186767 ,0.0189387, -0.0565542, 158.001
379, -0.0186643 ,0.0189364, -0.0565371, 157.739
380, -0.0186381 ,0.0189558, -0.0565497, 157.613
381, -0.0186262 ,0.0189797, -0.0565855, 157.707
382, -0.0186241 ,0.0189958, -0.0566158, 157.968
383, -0.0186168 ,0.0189941, -0.0566049, 158.182
384, -0.0186146 ,0.0189592, -0.056533, 158.086
385, -0.018623 ,0.0188931, -0.0564093, 157.532
386, -0.0186522 ,0.018809, -0.0562702, 156.592
387, -0.0186814 ,0.0187401, -0.0561617, 155.539
388, -0.0186596 ,0.0187287, -0.0561171, 154.715
389, -0.0186418 ,0.0187527, -0.0561471, 154.374
390, -0.0186562 ,0.0187943, -0.0562448, 154.602
391, -0.0186911 ,0.0188516, -0.0563943, 155.35
392, -0.0187233 ,0.018926, -0.0565754, 156.498
393, -0.0187555 ,0.0190035, -0.0567625, 157.888
394, -0.0187839 ,0.0190712, -0.0569264, 159.323
395, -0.0187864 ,0.0191263, -0.0570389, 160.579
396, -0.0187609 ,0.0191601, -0.0570811, 161.441
397, -0.0187244 ,0.0191626, -0.0570497, 161.766
398, -0.0186969 ,0.0191317, -0.0569603, 161.531
399, -0.0186842 ,0.0190794, -0.056843, 160.855
400, -0.0186659 ,0.0190324, -0.0567307, 159.964
401, -0.0186329 ,0.0190065, -0.056646, 159.106
402, -0.0186083 ,0.0189936, -0.0565955, 158.453
403, -0.0186026 ,0.018985, -0.0565726, 158.058
404, -0.0186174 ,0.0189735, -0.0565643, 157.874
405, -0.0186501 ,0.0189532, -0.0565566, 157.803
406, -0.0186782 ,0.0189298, -0.0565378, 157.737
407, -0.0186907 ,0.0189061, -0.056503, 157.589
408, -0.0186956 ,0.0188815, -0.0564586, 157.323
409, -0.0186979 ,0.0188636, -0.0564252, 156.99
410, -0.0186843 ,0.0188744, -0.0564331, 156.747
411, -0.0186849 ,0.0189117, -0.0565084, 156.823
412, -0.0187019 ,0.0189778, -0.0566574, 157.41
413, -0.0187182 ,0.0190717, -0.0568616, 158.553
414, -0.0187394 ,0.0191737, -0.0570867, 160.116
415, -0.0187706 ,0.0192629, -0.0572964, 161.84
416, -0.0187894 ,0.0193349, -0.0574592, 163.447
417, -0.0187853 ,0.0193823, -0.0575499, 164.694
418, -0.0187714 ,0.0193904, -0.0575522, 165.387
419, -0.0187525 ,0.019356, -0.0574646, 165.402
420, -0.0187351 ,0.0192846, -0.0573043, 164.731
421, -0.0187193 ,0.0191944, -0.0571081, 163.508
422, -0.0187092 ,0.0191074, -0.0569239, 162.013
423, -0.0187235 ,0.019033, -0.0567896, 160.606
424, -0.018747 ,0.0189834, -0.0567138, 159.57
425, -0.0187347 ,0.0189719, -0.0566786, 158.973
426, -0.0186985 ,0.0189809, -0.0566603, 158.688
427, -0.018672 ,0.0189891, -0.0566502, 158.541
428, -0.018678 ,0.0189907, -0.0566594, 158.469
429, -0.018685 ,0.0190086, -0.0567021, 158.548
430, -0.0186595 ,0.0190581, -0.0567758, 158.879
431, -0.0186339 ,0.0191133, -0.0568605, 159.439
432, -0.0186201 ,0.0191575, -0.056935, 160.085
433, -0.0186156 ,0.0191871, -0.0569899, 160.659
434, -0.0185835 ,0.0192214, -0.0570264, 161.085
435, -0.0185302 ,0.0192573, -0.0570449, 161.369
436, -0.01849 ,0.0192737, -0.0570374, 161.507
437, -0.0184817 ,0.0192571, -0.0569959, 161.442
438, -0.0184834 ,0.0192211, -0.0569255, 161.123
439, -0.0185252 ,0.0191597, -0.0568446, 160.587
440, -0.018552 ,0.0191098, -0.0567717, 159.97
441, -0.0185374 ,0.019088, -0.0567133, 159.409
442, -0.0185087 ,0.0190776, -0.0566638, 158.953
443, -0.0184929 ,0.0190607, -0.0566142, 158.565
444, -0.0184923 ,0.0190347, -0.0565617, 158.178
445, -0.0184961 ,0.0190087, -0.0565136, 157.775
446, -0.0185148 ,0.0189846, -0.056484, 157.41
447, -0.0185143 ,0.0189825, -0.0564793, 157.186
448, -0.0185183 ,0.0189815, -0.0564813, 157.14
449, -0.0185534 ,0.0189509, -0.0564552, 157.138
450, -0.0186037 ,0.0188868, -0.0563772, 156.925
451, -0.0186471 ,0.018802, -0.056251, 156.325
452, -0.0186888 ,0.0187079, -0.0561046, 155.363
453, -0.0187331 ,0.0186214, -0.0559759, 154.25
454, -0.0187106 ,0.0185909, -0.0558924, 153.268
455, -0.0187196 ,0.0185689, -0.0558573, 152.624
456, -0.0187548 ,0.0185482, -0.0558513, 152.342
457, -0.0187797 ,0.0185328, -0.0558453, 152.28
458, -0.0187841 ,0.0185141, -0.0558124, 152.22
459, -0.0187832 ,0.0184778, -0.0557389, 151.958
460, -0.0187848 ,0.0184227, -0.0556302, 151.392
461, -0.0188006 ,0.0183545, -0.0555096, 150.562
462, -0.0188216 ,0.0182944, -0.0554103, 149.645
463, -0.0188274 ,0.0182691, -0.0553655, 148.894
464, -0.0187892 ,0.0183041, -0.0553974, 148.559
465, -0.0187294 ,0.0183891, -0.0555076, 148.807
466, -0.0186873 ,0.0184946, -0.0556765, 149.65
467, -0.0186654 ,0.0186049, -0.0558752, 150.943
468, -0.0186725 ,0.0187045, -0.0560815, 152.471
469, -0.0187007 ,0.018793, -0.0562868, 154.065
470, -0.0187293 ,0.0188806, -0.0564906, 155.656
471, -0.018753 ,0.0189684, -0.0566899, 157.234
472, -0.0187722 ,0.0190496, -0.0568715, 158.771
473, -0.0187847 ,0.0191144, -0.0570136, 160.166
474, -0.0187972 ,0.0191506, -0.0570984, 161.256
475, -0.0188017 ,0.019161, -0.0571237, 161.911
476, -0.0188067 ,0.0191484, -0.0571035, 162.114
477, -0.0187993 ,0.019128, -0.0570553, 161.967
478, -0.0187779 ,0.019104, -0.056986, 161.596
479, -0.0187507 ,0.0190692, -0.0568892, 161.054
480, -0.0187141 ,0.0190196, -0.0567533, 160.296
481, -0.0186822 ,0.0189447, -0.0565716, 159.239
